# 1D Sod shock tube solution
# scheme = hybrid
# nsteps = 1099
# time =     0.2500000000
x,rho,u,p,E
    0.11900000,  1.0000000000E+00,  2.7480398042E-15,  1.0000000000E+00,  2.5000000000E+00
    0.12000000,  1.0000000000E+00,  3.1397423746E-15,  1.0000000000E+00,  2.5000000000E+00
    0.12100000,  1.0000000000E+00,  3.4535710090E-15,  1.0000000000E+00,  2.5000000000E+00
    0.12200000,  1.0000000000E+00,  3.8567275910E-15,  1.0000000000E+00,  2.5000000000E+00
    0.12300000,  1.0000000000E+00,  4.1980470827E-15,  1.0000000000E+00,  2.5000000000E+00
    0.12400000,  1.0000000000E+00,  4.5621916988E-15,  1.0000000000E+00,  2.5000000000E+00
    0.12500000,  1.0000000000E+00,  4.9538395766E-15,  1.0000000000E+00,  2.5000000000E+00
    0.12600000,  1.0000000000E+00,  5.2674798305E-15,  1.0000000000E+00,  2.5000000000E+00
    0.12700000,  1.0000000000E+00,  5.6705119286E-15,  1.0000000000E+00,  2.5000000000E+00
    0.12800000,  1.0000000000E+00,  6.0117755318E-15,  1.0000000000E+00,  2.5000000000E+00
    0.12900000,  1.0000000000E+00,  6.3759986892E-15,  1.0000000000E+00,  2.5000000000E+00
    0.13000000,  1.0000000000E+00,  6.7678162621E-15,  1.0000000000E+00,  2.5000000000E+00
    0.13100000,  1.0000000000E+00,  7.0816399143E-15,  1.0000000000E+00,  2.5000000000E+00
    0.13200000,  1.0000000000E+00,  7.4848354164E-15,  1.0000000000E+00,  2.5000000000E+00
    0.13300000,  1.0000000000E+00,  7.8261722452E-15,  1.0000000000E+00,  2.5000000000E+00
    0.13400000,  1.0000000000E+00,  8.1903199964E-15,  1.0000000000E+00,  2.5000000000E+00
    0.13500000,  1.0000000000E+00,  8.5819843992E-15,  1.0000000000E+00,  2.5000000000E+00
    0.13600000,  1.0000000000E+00,  8.8956589316E-15,  1.0000000000E+00,  2.5000000000E+00
    0.13700000,  1.0000000000E+00,  9.2987084245E-15,  1.0000000000E+00,  2.5000000000E+00
    0.13800000,  1.0000000000E+00,  9.6400360235E-15,  1.0000000000E+00,  2.5000000000E+00
    0.13900000,  1.0000000000E+00,  1.0004277527E-14,  1.0000000000E+00,  2.5000000000E+00
    0.14000000,  1.0000000000E+00,  1.0396142595E-14,  1.0000000000E+00,  2.5000000000E+00
    0.14100000,  1.0000000000E+00,  1.0710000708E-14,  1.0000000000E+00,  2.5000000000E+00
    0.14200000,  1.0000000000E+00,  1.1113211472E-14,  1.0000000000E+00,  2.5000000000E+00
    0.14300000,  1.0000000000E+00,  1.1454558129E-14,  1.0000000000E+00,  2.5000000000E+00
    0.14400000,  1.0000000000E+00,  1.1818721860E-14,  1.0000000000E+00,  2.5000000000E+00
    0.14500000,  1.0000000000E+00,  1.2210366103E-14,  1.0000000000E+00,  2.5000000000E+00
    0.14600000,  1.0000000000E+00,  1.2524039716E-14,  1.0000000000E+00,  2.5000000000E+00
    0.14700000,  1.0000000000E+00,  1.2927098360E-14,  1.0000000000E+00,  2.5000000000E+00
    0.14800000,  1.0000000000E+00,  1.3268434771E-14,  1.0000000000E+00,  2.5000000000E+00
    0.14900000,  1.0000000000E+00,  1.3632707742E-14,  1.0000000000E+00,  2.5000000000E+00
    0.15000000,  1.0000000000E+00,  1.4113909521E-14,  1.0000000000E+00,  2.5000000000E+00
    0.15100000,  1.0000000000E+00,  1.4838977126E-14,  1.0000000000E+00,  2.5000000000E+00
    0.15200000,  1.0000000000E+00,  1.5773614981E-14,  1.0000000000E+00,  2.5000000000E+00
    0.15300000,  1.0000000000E+00,  1.6940600375E-14,  1.0000000000E+00,  2.5000000000E+00
    0.15400000,  1.0000000000E+00,  1.8460191374E-14,  1.0000000000E+00,  2.5000000000E+00
    0.15500000,  1.0000000000E+00,  2.0320923529E-14,  1.0000000000E+00,  2.5000000000E+00
    0.15600000,  1.0000000000E+00,  2.2780556865E-14,  1.0000000000E+00,  2.5000000000E+00
    0.15700000,  1.0000000000E+00,  2.5788720218E-14,  1.0000000000E+00,  2.5000000000E+00
    0.15800000,  1.0000000000E+00,  2.9395945331E-14,  1.0000000000E+00,  2.5000000000E+00
